"Date","Value"
"08/20/1990",1.191
"08/27/1990",1.245
"09/03/1990",1.242
"09/10/1990",1.252
"09/17/1990",1.266
"09/24/1990",1.272
"10/01/1990",1.321
"10/08/1990",1.333
"10/15/1990",1.339
"10/22/1990",1.345
"10/29/1990",1.339
"11/05/1990",1.334
"11/12/1990",1.328
"11/19/1990",1.323
"11/26/1990",1.311
"12/03/1990",1.341
"01/21/1991",1.192
"01/28/1991",1.168
"02/04/1991",1.139
"02/11/1991",1.106
"02/18/1991",1.078
"02/25/1991",1.054
"03/04/1991",1.025
"03/11/1991",1.045
"03/18/1991",1.043
"03/25/1991",1.047
"04/01/1991",1.052
"04/08/1991",1.066
"04/15/1991",1.069
"04/22/1991",1.09
"04/29/1991",1.104
"05/06/1991",1.113
"05/13/1991",1.121
"05/20/1991",1.129
"05/27/1991",1.14
"06/03/1991",1.138
"06/10/1991",1.135
"06/17/1991",1.126
"06/24/1991",1.114
"07/01/1991",1.104
"07/08/1991",1.098
"07/15/1991",1.094
"07/22/1991",1.091
"07/29/1991",1.091
"08/05/1991",1.099
"08/12/1991",1.112
"08/19/1991",1.124
"08/26/1991",1.124
"09/02/1991",1.127
"09/09/1991",1.12
"09/16/1991",1.11
"09/23/1991",1.097
"09/30/1991",1.092
"10/07/1991",1.089
"10/14/1991",1.084
"10/21/1991",1.088
"10/28/1991",1.091
"11/04/1991",1.091
"11/11/1991",1.102
"11/18/1991",1.104
"11/25/1991",1.099
"12/02/1991",1.099
"12/09/1991",1.091
"12/16/1991",1.075
"12/23/1991",1.063
"12/30/1991",1.053
"01/06/1992",1.042
"01/13/1992",1.026
"01/20/1992",1.014
"01/27/1992",1.006
"02/03/1992",0.995
"02/10/1992",1.004
"02/17/1992",1.011
"02/24/1992",1.014
"03/02/1992",1.012
"03/09/1992",1.013
"03/16/1992",1.01
"03/23/1992",1.015
"03/30/1992",1.013
"04/06/1992",1.026
"04/13/1992",1.051
"04/20/1992",1.058
"04/27/1992",1.072
"05/04/1992",1.089
"05/11/1992",1.102
"05/18/1992",1.118
"05/25/1992",1.12
"06/01/1992",1.128
"06/08/1992",1.143
"06/15/1992",1.151
"06/22/1992",1.153
"06/29/1992",1.149
"07/06/1992",1.147
"07/13/1992",1.139
"07/20/1992",1.132
"07/27/1992",1.128
"08/03/1992",1.126
"08/10/1992",1.123
"08/17/1992",1.116
"08/24/1992",1.123
"08/31/1992",1.121
"09/07/1992",1.121
"09/14/1992",1.124
"09/21/1992",1.123
"09/28/1992",1.118
"10/05/1992",1.115
"10/12/1992",1.115
"10/19/1992",1.113
"10/26/1992",1.113
"11/02/1992",1.12
"11/09/1992",1.12
"11/16/1992",1.112
"11/23/1992",1.106
"11/30/1992",1.098
"12/07/1992",1.089
"12/14/1992",1.078
"12/21/1992",1.074
"12/28/1992",1.069
"01/04/1993",1.065
"01/11/1993",1.066
"01/18/1993",1.061
"01/25/1993",1.055
"02/01/1993",1.055
"02/08/1993",1.062
"02/15/1993",1.053
"02/22/1993",1.047
"03/01/1993",1.042
"03/08/1993",1.048
"03/15/1993",1.058
"03/22/1993",1.056
"03/29/1993",1.057
"04/05/1993",1.068
"04/12/1993",1.079
"04/19/1993",1.079
"04/26/1993",1.086
"05/03/1993",1.086
"05/10/1993",1.097
"05/17/1993",1.106
"05/24/1993",1.106
"05/31/1993",1.107
"06/07/1993",1.104
"06/14/1993",1.101
"06/21/1993",1.095
"06/28/1993",1.089
"07/05/1993",1.086
"07/12/1993",1.081
"07/19/1993",1.075
"07/26/1993",1.069
"08/02/1993",1.062
"08/09/1993",1.06
"08/16/1993",1.059
"08/23/1993",1.065
"08/30/1993",1.062
"09/06/1993",1.055
"09/13/1993",1.051
"09/20/1993",1.045
"09/27/1993",1.047
"10/04/1993",1.092
"10/11/1993",1.09
"10/18/1993",1.093
"10/25/1993",1.092
"11/01/1993",1.084
"11/08/1993",1.075
"11/15/1993",1.064
"11/22/1993",1.058
"11/29/1993",1.051
"12/06/1993",1.036
"12/13/1993",1.018
"12/20/1993",1.003
"12/27/1993",0.999
"01/03/1994",0.992
"01/10/1994",0.995
"01/17/1994",1.001
"01/24/1994",0.999
"01/31/1994",1.005
"02/07/1994",1.007
"02/14/1994",1.016
"02/21/1994",1.009
"02/28/1994",1.004
"03/07/1994",1.007
"03/14/1994",1.005
"03/21/1994",1.007
"03/28/1994",1.012
"04/04/1994",1.011
"04/11/1994",1.028
"04/18/1994",1.033
"04/25/1994",1.037
"05/02/1994",1.04
"05/09/1994",1.045
"05/16/1994",1.046
"05/23/1994",1.05
"05/30/1994",1.056
"06/06/1994",1.065
"06/13/1994",1.073
"06/20/1994",1.079
"06/27/1994",1.095
"07/04/1994",1.097
"07/11/1994",1.103
"07/18/1994",1.109
"07/25/1994",1.114
"08/01/1994",1.13
"08/08/1994",1.157
"08/15/1994",1.161
"08/22/1994",1.165
"08/29/1994",1.161
"09/05/1994",1.156
"09/12/1994",1.15
"09/19/1994",1.14
"09/26/1994",1.129
"10/03/1994",1.12
"10/10/1994",1.114
"10/17/1994",1.106
"10/24/1994",1.107
"10/31/1994",1.121
"11/07/1994",1.123
"11/14/1994",1.122
"11/21/1994",1.113
"11/28/1994",1.082
"12/05/1994",1.075
"12/12/1994",1.064
"12/19/1994",1.056
"12/26/1994",1.044
"01/02/1995",1.063
"01/09/1995",1.07
"01/16/1995",1.062
"01/23/1995",1.068
"01/30/1995",1.068
"02/06/1995",1.062
"02/13/1995",1.058
"02/20/1995",1.052
"02/27/1995",1.06
"03/06/1995",1.063
"03/13/1995",1.056
"03/20/1995",1.055
"03/27/1995",1.063
"04/03/1995",1.077
"04/10/1995",1.094
"04/17/1995",1.11
"04/24/1995",1.133
"05/01/1995",1.141
"05/08/1995",1.164
"05/15/1995",1.173
"05/22/1995",1.191
"05/29/1995",1.193
"06/05/1995",1.194
"06/12/1995",1.19
"06/19/1995",1.183
"06/26/1995",1.177
"07/03/1995",1.169
"07/10/1995",1.159
"07/17/1995",1.148
"07/24/1995",1.138
"07/31/1995",1.126
"08/07/1995",1.124
"08/14/1995",1.121
"08/21/1995",1.122
"08/28/1995",1.113
"09/04/1995",1.111
"09/11/1995",1.107
"09/18/1995",1.106
"09/25/1995",1.106
"10/02/1995",1.1
"10/09/1995",1.092
"10/16/1995",1.081
"10/23/1995",1.073
"10/30/1995",1.062
"11/06/1995",1.06
"11/13/1995",1.059
"11/20/1995",1.056
"11/27/1995",1.057
"12/04/1995",1.058
"12/11/1995",1.057
"12/18/1995",1.072
"12/25/1995",1.075
"01/01/1996",1.077
"01/08/1996",1.086
"01/15/1996",1.092
"01/22/1996",1.084
"01/29/1996",1.079
"02/05/1996",1.076
"02/12/1996",1.073
"02/19/1996",1.078
"02/26/1996",1.099
"03/04/1996",1.115
"03/11/1996",1.116
"03/18/1996",1.128
"03/25/1996",1.158
"04/01/1996",1.172
"04/08/1996",1.195
"04/15/1996",1.234
"04/22/1996",1.243
"04/29/1996",1.257
"05/06/1996",1.259
"05/13/1996",1.262
"05/20/1996",1.269
"05/27/1996",1.26
"06/03/1996",1.252
"06/10/1996",1.247
"06/17/1996",1.241
"06/24/1996",1.23
"07/01/1996",1.219
"07/08/1996",1.217
"07/15/1996",1.215
"07/22/1996",1.215
"07/29/1996",1.209
"08/05/1996",1.199
"08/12/1996",1.196
"08/19/1996",1.199
"08/26/1996",1.201
"09/02/1996",1.193
"09/09/1996",1.201
"09/16/1996",1.203
"09/23/1996",1.203
"09/30/1996",1.199
"10/07/1996",1.191
"10/14/1996",1.203
"10/21/1996",1.205
"10/28/1996",1.217
"11/04/1996",1.225
"11/11/1996",1.229
"11/18/1996",1.238
"11/25/1996",1.246
"12/02/1996",1.242
"12/09/1996",1.241
"12/16/1996",1.233
"12/23/1996",1.227
"12/30/1996",1.224
"01/06/1997",1.22
"01/13/1997",1.235
"01/20/1997",1.236
"01/27/1997",1.232
"02/03/1997",1.23
"02/10/1997",1.227
"02/17/1997",1.22
"02/24/1997",1.217
"03/03/1997",1.208
"03/10/1997",1.199
"03/17/1997",1.191
"03/24/1997",1.196
"03/31/1997",1.191
"04/07/1997",1.192
"04/14/1997",1.187
"04/21/1997",1.188
"04/28/1997",1.185
"05/05/1997",1.182
"05/12/1997",1.182
"05/19/1997",1.195
"05/26/1997",1.204
"06/02/1997",1.206
"06/09/1997",1.198
"06/16/1997",1.189
"06/23/1997",1.179
"06/30/1997",1.171
"07/07/1997",1.169
"07/14/1997",1.165
"07/21/1997",1.17
"07/28/1997",1.164
"08/04/1997",1.185
"08/11/1997",1.219
"08/18/1997",1.218
"08/25/1997",1.23
"09/01/1997",1.229
"09/08/1997",1.227
"09/15/1997",1.219
"09/22/1997",1.208
"09/29/1997",1.195
"10/06/1997",1.195
"10/13/1997",1.187
"10/20/1997",1.178
"10/27/1997",1.168
"11/03/1997",1.163
"11/10/1997",1.164
"11/17/1997",1.156
"11/24/1997",1.15
"12/01/1997",1.14
"12/08/1997",1.128
"12/15/1997",1.118
"12/22/1997",1.108
"12/29/1997",1.099
"01/05/1998",1.089
"01/12/1998",1.083
"01/19/1998",1.072
"01/26/1998",1.055
"02/02/1998",1.051
"02/09/1998",1.045
"02/16/1998",1.032
"02/23/1998",1.038
"03/02/1998",1.025
"03/09/1998",1.017
"03/16/1998",1.006
"03/23/1998",0.998
"03/30/1998",1.026
"04/06/1998",1.023
"04/13/1998",1.018
"04/20/1998",1.021
"04/27/1998",1.032
"05/04/1998",1.038
"05/11/1998",1.052
"05/18/1998",1.055
"05/25/1998",1.052
"06/01/1998",1.047
"06/08/1998",1.06
"06/15/1998",1.049
"06/22/1998",1.041
"06/29/1998",1.042
"07/06/1998",1.041
"07/13/1998",1.037
"07/20/1998",1.044
"07/27/1998",1.035
"08/03/1998",1.023
"08/10/1998",1.018
"08/17/1998",1.011
"08/24/1998",1.004
"08/31/1998",0.998
"09/07/1998",0.991
"09/14/1998",0.987
"09/21/1998",0.999
"09/28/1998",0.999
"10/05/1998",1.006
"10/12/1998",1.01
"10/19/1998",1.007
"10/26/1998",1.001
"11/02/1998",0.997
"11/09/1998",0.994
"11/16/1998",0.981
"11/23/1998",0.971
"11/30/1998",0.954
"12/07/1998",0.933
"12/14/1998",0.923
"12/21/1998",0.921
"12/28/1998",0.914
"01/04/1999",0.913
"01/11/1999",0.92
"01/18/1999",0.921
"01/25/1999",0.913
"02/01/1999",0.908
"02/08/1999",0.907
"02/15/1999",0.899
"02/22/1999",0.885
"03/01/1999",0.891
"03/08/1999",0.9
"03/15/1999",0.958
"03/22/1999",0.999
"03/29/1999",1.055
"04/05/1999",1.087
"04/12/1999",1.107
"04/19/1999",1.103
"04/26/1999",1.099
"05/03/1999",1.107
"05/10/1999",1.109
"05/17/1999",1.112
"05/24/1999",1.101
"05/31/1999",1.088
"06/07/1999",1.092
"06/14/1999",1.088
"06/21/1999",1.105
"06/28/1999",1.095
"07/05/1999",1.11
"07/12/1999",1.123
"07/19/1999",1.148
"07/26/1999",1.172
"08/02/1999",1.172
"08/09/1999",1.183
"08/16/1999",1.214
"08/23/1999",1.212
"08/30/1999",1.214
"09/06/1999",1.223
"09/13/1999",1.234
"09/20/1999",1.252
"09/27/1999",1.248
"10/04/1999",1.242
"10/11/1999",1.234
"10/18/1999",1.22
"10/25/1999",1.225
"11/01/1999",1.218
"11/08/1999",1.222
"11/15/1999",1.24
"11/22/1999",1.258
"11/29/1999",1.262
"12/06/1999",1.26
"12/13/1999",1.263
"12/20/1999",1.257
"12/27/1999",1.263
"01/03/2000",1.26
"01/10/2000",1.252
"01/17/2000",1.268
"01/24/2000",1.307
"01/31/2000",1.307
"02/07/2000",1.319
"02/14/2000",1.35
"02/21/2000",1.4
"02/28/2000",1.413
"03/06/2000",1.49
"03/13/2000",1.511
"03/20/2000",1.508
"03/27/2000",1.484
"04/03/2000",1.478
"04/10/2000",1.447
"04/17/2000",1.415
"04/24/2000",1.406
"05/01/2000",1.386
"05/08/2000",1.427
"05/15/2000",1.466
"05/22/2000",1.494
"05/29/2000",1.509
"06/05/2000",1.535
"06/12/2000",1.607
"06/19/2000",1.664
"06/26/2000",1.641
